model,strategy_short,total_tokens,total_api_cost,avg_cosine_similarity,avg_rouge_l_f1,avg_self_grade,avg_latency_ms,cosine_per_dollar,sample_count
groq-llama-4-scout,Default,50393.0,0.012446,0.543267,0.161449,2.976744,1915.470057,1877.017081,43
groq-llama-4-scout,Self-Consistency_N3,354962.0,0.066965,0.54365,0.141249,2.813953,15565.196969,349.091782,43
groq-llama-4-scout,Self-Consistency_N5,557707.0,0.105136,0.532418,0.134278,2.906977,12169.279182,217.755955,43
groq-llama-4-scout,Self-Discover,89909.0,0.021599,0.538807,0.105962,2.651163,2863.528346,1072.694342,43
groq-llama-guard-4,Default,29038.0,0.005808,0.0,0.0,0.069767,370.478941,0.0,43
groq-llama-guard-4,Self-Consistency_N3,159846.0,0.031969,,,0.023256,4835.896924,,43
groq-llama-guard-4,Self-Consistency_N5,242186.0,0.048437,,,0.023256,7148.399336,,43
groq-llama-guard-4,Self-Discover,48859.0,0.009772,0.0,0.0,0.046512,393.779017,0.0,43
groq-llama3.1-8b-instant,Default,58980.0,0.004051,0.515165,0.155291,2.27907,1574.437507,5468.277143,43
groq-llama3.1-8b-instant,Self-Consistency_N3,392391.0,0.023508,0.528686,0.129666,2.44186,5955.408817,967.073017,43
groq-llama3.1-8b-instant,Self-Consistency_N5,607605.0,0.036459,0.528567,0.132443,2.581395,8069.866108,623.398559,43
groq-llama3.1-8b-instant,Self-Discover,106903.0,0.007268,0.494794,0.093931,2.581395,2143.253404,2927.276275,43
groq-llama3.3-70b,Default,49328.0,0.03452,0.524692,0.158459,2.837209,2697.406442,653.586562,43
groq-llama3.3-70b,Self-Consistency_N3,348641.0,0.227239,0.545779,0.136651,2.883721,11415.900031,103.276948,43
groq-llama3.3-70b,Self-Consistency_N5,573179.0,0.37525,0.54593,0.137547,2.860465,18177.807187,62.558342,43
groq-llama3.3-70b,Self-Discover,94048.0,0.065738,0.531107,0.103711,2.860465,4777.336509,347.403585,43
